image,IoU_ConvNeXt,IoU_ResNet,pixels,score_convnext,score_resnet,score_diff
guatemala-volcano_00000004_pre_disaster.png,0.5201173512154234,0.38254377388676564,8264.0,4298.249790444259,3161.3417474002313,1136.9080430440276
guatemala-volcano_00000012_pre_disaster.png,0.6211849192100538,0.42188552188552186,2331.0,1447.9820466786355,983.4151515151515,464.566895163484
guatemala-volcano_00000014_pre_disaster.png,0.6273525721455459,0.4747126436781609,719.0,451.06649937264746,341.3183908045977,109.74810856804976
guatemala-volcano_00000020_pre_disaster.png,0.8025580528995405,0.766931378537976,21230.0,17038.307463057245,16281.95316636123,756.354296696014
guatemala-volcano_00000022_pre_disaster.png,0.010309278350515464,0.01023391812865497,638.0,6.577319587628866,6.529239766081871,0.04807982154699442
hurricane-florence_00000006_pre_disaster.png,0.8092138613459862,0.7730392641677382,45449.0,36777.96078431373,35133.86151715953,1644.0992671541972
hurricane-florence_00000009_pre_disaster.png,0.5216308306896957,0.3905970181457268,37491.0,19556.461473387382,14643.872807301443,4912.58866608594
hurricane-florence_00000010_pre_disaster.png,0.6989716696452114,0.6364678899082569,30279.0,21164.163185187357,19271.61123853211,1892.5519466552469
hurricane-florence_00000011_pre_disaster.png,0.7079743957884661,0.476332911226584,29594.0,20951.794268963866,14096.596174839528,6855.198094124338
hurricane-florence_00000014_pre_disaster.png,0.8472305104974773,0.8205927678027453,52470.0,44454.184885802635,43056.50252661004,1397.6823591925931
hurricane-florence_00000017_pre_disaster.png,0.6663811722648395,0.5004566380258326,46424.0,30936.07954122291,23233.198963711253,7702.880577511656
hurricane-florence_00000021_pre_disaster.png,0.8894176581089542,0.8858729179518815,7478.0,6651.06524733876,6624.55768044417,26.507566894590127
hurricane-florence_00000025_pre_disaster.png,0.0,0.0,0.0,0.0,0.0,0.0
hurricane-florence_00000033_pre_disaster.png,0.7232228791420322,0.6085519727618666,43528.0,31480.445483294377,26489.050270378528,4991.39521291585
hurricane-florence_00000034_pre_disaster.png,0.7060968199311323,0.6224260958205913,4653.0,3285.4685031395584,2896.148623853211,389.31987928634726
